19743 48185
C7438 D17058
S4362 H14496
S5699 C5037
H12603 H13763
C8564 D15260
S8549 H18185
S12933 C13678
S18767 D19556
S3547 C15517
H11826 S1924
S1631 D1303
C14640 S8544
H8472 S8544
D5214 H18437
H5377 S12239
S11970 H10316
H7481 C8146
S4329 C13319
H16847 C14722
C10278 D6200
C13132 D4227
S11697 H3598
C2404 S16741
S7042 S7141
C6509 S15166
D18723 D5175
C15238 H18907
C16587 S6882
S9002 S13407
D1145 H430
S14110 S11857
C402 H18907
H16936 C9046
D15616 H16072
C19700 C15016
D2040 C11145
D3300 D1367
D5426 S6650
C17840 H19310
S535 H14224
H19168 C10927
C18290 C13846
C19670 D6343
S14477 D16136
S12700 H13584
H13236 D18053
H12567 D10616
D743 C3342
H35 C14473
D14483 C15267
S10850 C19315
H14671 D10866
D3538 S2385
C4732 C17774
D18509 C10938
D19562 C10807
S9481 D6876
C323 D7792
D8242 H7604
S7511 D13403
D19475 C4415
D6964 S9803
S14304 H4349
S10252 S11246
H15472 C2019
S16514 C4675
C12793 H13871
D9096 C19686
S6663 D4043
S6804 H1170
H11833 H5553
S979 D12550
C2795 H6273
C6671 D6068
C7331 H3310
D17408 C4792
C15568 D9025
H1134 S5068
C10437 H18974
H15921 D16860
H18563 D13350
S13857 D4682
S7429 S5137
S11156 D6802
C9731 C15858
H425 C1702
C10051 C16093
D16689 D13029
D12628 H10267
S2842 S16504
D3744 D15318
D14994 D5100
D17160 D14989
H618 D15539
C15792 D3041
D4084 D6905
C18527 S10650
H787 C19582
H11307 H1622
S7287 H3819
D5795 S18805
C10153 S73
S16209 S13059
S6822 C3055
D13082 H9391
S4166 C3004
D279 C1990
S13345 D15385
S10930 H12773
D9397 D8838
H8953 C17822
H13623 D16513
C9203 C13332
C1790 C18906
S449 S11470
H984 D15514
C12627 H4450
D15801 C10867
H16937 S17649
S9784 S11257
D352 H4273
H4439 H14049
H10817 D6074
D12473 D7060
D5869 D16752
D5349 C10211
H5025 S18986
D9532 C4454
C13376 C4545
C1746 H15727
H12779 C4019
H10877 C6111
D11452 H4050
H17250 C8914
H14859 S10697
H15168 H19619
D15891 C13048
S8700 H14688
C12241 S745
D7497 H14933
D78 S14398
S5946 C15117
S10790 S4306
H15492 H16951
D2117 S18144
H15361 C8785
S2677 S4112
H17312 D12170
H17108 H1928
H11039 S11778
H4433 C15149
H2007 H11104
H13375 C13353
C18120 S16352
D17956 C6472
C9449 S7108
H8500 S16739
H15169 D14322
C8166 S13956
S17325 D15241
S4409 S12520
D17332 H7940
C12827 D12374
C7647 D6216
C10031 H14467
C16957 S8642
C10331 C11619
H1995 S14876
D767 S12750
C8829 D4671
S10141 S10485
D18122 H14622
C16525 H5520
H8872 S7332
H17136 S14025
D15871 S18698
D1965 C2991
C4679 C3140
D18564 S17437
S15240 C12274
D14381 S18144
H5578 C17439
C78 D15178
C7711 C676
S11085 S17324
C5345 D188
D10548 H4329
H4021 D3777
S12009 H18390
S2903 S5323
H4581 D10410
S12625 H14821
S2677 S6895
C15348 H6705
D11490 D16926
C7495 S11626
C19718 D1967
H14193 S225
C8516 D703
D10329 H19168
S9421 C1866
C13250 S19292
H16758 H13236
D13629 D10412
H16701 H11697
H10708 S16185
D6552 H12135
C3652 H5905
S1017 S5127
D1952 D7615
S13516 D19264
D14933 H807
H1022 S4595
D13757 C15328
D538 D15982
S11725 S5639
D6708 H11054
C9679 D6705
H11487 C17069
H3281 H19230
S433 C7645
H16005 C1677
S16655 D841
C5653 C10540
S17140 D1283
C1523 S1494
S17308 C2751
C13591 C5548
C3387 S6181
C13297 S17080
H12122 C16831
S9402 D11709
H10816 C7965
D12297 H16379
D17556 C7475
D7542 C2634
H17669 H9521
S3595 D361
S6734 S19138
S16937 D9249
H18819 C4192
C8620 C847
D5857 H1427
S5247 D11994
S6951 S15158
S2619 S16814
C10153 C2619
H17687 S10842
H2441 C6032
S16756 S13826
S12028 C9032
D2893 D307
H18502 D7181
S11022 H1420
H8851 H18570
H8465 S16720
D3574 D13523
C4949 H6350
C14265 S3434
C19286 D6042
H4790 H6646
D7940 S7598
